Headline,Sentiment
"צה""ל: ההתרעות על חדירת כטב""ם בראש הנקרה - שווא",Positive
"אחרי אזהרת דובר צה""ל: בלבנון מדווחים על תקיפות בדאחייה",Positive
"במהלך השבוע: כ-200 מחבלי חיזבאללה חוסלו בלבנון, יותר מ-140 משגרים הושמדו",Positive
"דובר צה""ל בערבית פרסם אזהרת פינוי חדשה לתושבי הדאחייה בביירות",Positive
"עשרות מחבלים חוסלו ברצועה ובלבנון, חיל האוויר תקף יותר מ-100 מטרות טרור",Positive
"צה""ל על האזעקות בגליל העליון: 10 שיגורים חצו מלבנון, חלק יורטו",Positive
"המיליציות בעיראק קיבלו אחריות על 3 תקיפות בצפון באמצעות כטב""מים",Positive
"ארה""ב: המפלגה הרפובליקנית זכתה במספיק מושבים - והבטיחה את שליטתה בבית הנבחרים",Positive
"צה""ל על האזעקות במעלות: שתי רקטות מלבנון התפוצצו בשטחים פתוחים",Positive
"דיווח בלבנון: צה""ל תוקף שוב בדאחייה",Positive
"צה""ל: יורט כטב""ם בשמי סוריה שעשה את דרכו לישראל",Positive
"צה""ל: האזעקה בדישון - שווא",Positive
"אחרי התקיפות: צה""ל פרסם אזהרת פינוי נוספת לתושבים בדאחייה",Positive
"צה""ל תקף משגר חמוש שכוון לשטח הארץ במרחב ההומניטרי בדרום רצועת עזה",Positive
"צה""ל: נעצר המחבל מפיגוע הדריסה ליד מודיעין עילית - שפצע קל שתי לוחמות",Positive
"צה""ל: תקפנו בסוריה צירי הברחות ללבנון ששימשו את חיזבאללה",Positive
"צה""ל: חיל הים יירט כטב""ם ששוגר ממזרח; המיליציות בעיראק קיבלו אחריות",Positive
"צה""ל על האזעקה באילת: ""הפרטים בבדיקה""",Positive
דיווחים לבנוניים על תקיפות בדאחייה,Positive
"דיווח סורי: בתקיפות שבהן נהרג רוצח ר""מ לבנון לשעבר - נהרג גם אביו של נסראללה",Positive
"דובר צה""ל בערבית פרסם אזהרת פינוי לאזורים בדאחייה",Positive
"דיווח סעודי: ""התקיפות בסוריה - ככל הנראה על-ידי ישראל""",Positive
דיווח בלבנון על תקיפות בצפון ומזרח המדינה,Positive
"צה""ל: דיווח ראשוני על פיגוע דריסה ליד מודיעין עילית",Positive
דיווחים בסוריה: תקיפות באזור העיר חומס,Positive
"צה""ל: חיסול בכירים של חמאס וחיזבאללה בלבנון בחודשים האחרונים - ע""י חיל הים",Positive
"הדי פיצוצים בכרמל ובמרכז, צה""ל: השיגורים מלבנון",Positive
"צה""ל הקפיא את שירות המילואים של אחד ממובילי ""אחים לנשק"" עד הקיץ",Positive
CNN: טראמפ הבטיח את הניצחון הקריטי בג'ורג'יה - וגרף את 16 האלקטורים שלה,Positive
"צה""ל: האזעקה ברג'ר - זיהוי שווא",Positive
"צה""ל: חוסל מפקד גדוד של חיזבאללה בגזרת אל-חיאם",Positive
"ניצחון להאריס בהוואי, טראמפ מוביל 216:232 באלקטורים",Positive
"""פוקס ניוז"": טראמפ בדרך גם לניצחון רפובליקני בסנאט",Positive
"צה""ל: המחבל בצומת שילה דרס אזרחים, יצא מרכבו וניסה לבצע פיגוע דקירה",Positive
"דיווחים בלבנון: ""צה""ל תוקף בדרום ועומק המדינה""",Positive
"צה""ל: ההתרעה בנתיב העשרה - זיהוי שווא",Positive
"צה""ל: חוסלו עשרות מחבלים בדרום לבנון, בהם מפקד גדוד במרחב שבו הכוחות פועלים",Positive
"באירופה המומים מניצחונו של טראמפ. מקרון הציע ""תיאום"" בין מדינות האיחוד האירופי",Positive
"צה""ל: האזעקות בגליל המערבי - זיהוי שווא",Positive
"צה""ל: זוהתה נפילה במרכז הארץ",Positive
"צה""ל: זוהו כעשרה שיגורים מלבנון, בוצעו יירוטים",Positive
"צה""ל פרסם הודעות פינוי בדאחייה",Positive
"צה""ל: כוחות הביטחון עצרו חשוד לא חמוש שהסתנן משטח ירדן לישראל",Positive
הריאל האיראני צונח לשפל של כל הזמנים על רקע ניצחונו של טראמפ,Positive
"בבריטניה, בפולין ובהודו בירכו את טראמפ: ""ניצחון היסטורי""",Positive
"טראמפ בנאום הניצחון: "" יש לנו מדינה שצריכה עזרה - ודחוף. נתקן את הכול""",Positive
"גם פוקס ניוז מכריזה: טראמפ הנשיא הבא, ניצח גם בוויסקונסין",Positive
"רכב האיץ לעבר לוחמים באזור ג'נין, המחבלים נפגעו מירי כוחות צה""ל",Positive
"הכרזות נוספות על ניצחונו של טראמפ בפנסילבניה: ""הוא הנשיא הבא של ארה""ב""",Positive
פוקס ניוז קובעת: טראמפ ניצח בפנסילבניה - המדינה המביאה אותו לניצחון,Positive
טראמפ ניצח באלסקה,Positive
"האריס ניצחה בניו מקסיקו, טראמפ עדיין מוביל",Positive
"טראמפ ניצח בצפון קרוליינה, ומוביל 206:232 באלקטורים",Positive
"צה""ל: ההתרעה בעוטף - זיהוי שווא",Positive
"צה""ל: המחבל בצומת שילה ניסה לדרוס אזרחים, יצא מרכבו וניסה לבצע פיגוע דקירה",Positive
אתר ניתוח תוצאות הבחירות: ניצחון לטראמפ בעוד מדינה מתנדנדת,Positive
"צה""ל: נפילה בשטח פתוח במרכז הארץ, לא הופעלו אזעקות לפי מדיניות",Positive
"פוקס ניוז: ""ארה""ב הבחינה בתזוזת משגרים באיראן אחרי חיסול נסראללה""",Positive
דיווח בלבנון: ישראל חידשה את תקיפותיה בדאחייה,Positive
"דובר צה""ל בערבית באזהרה נוספת לתושבים בדאחייה: ""צה""ל יפעל שם בקרוב""",Positive
"צה""ל: מחבלים שפעלו במבנים שהיו בעבר בתי ספר בצפון הרצועה - הותקפו מהאוויר",Positive
דיווח בלבנון: נמשכות התקיפות בדאחייה,Positive
"צה""ל מאשר: תוקפים מטרות טרור בביירות",Positive
"לאחר אזהרת דובר צה""ל: דיווחים על תקיפה בדאחייה",Positive
"דובר צה""ל בערבית לתושבים בדאחייה: ""יש לפנות מבנים באופן מיידי""",Positive
לבנון: 55 נהרגו בתקיפות ישראליות - תוך יממה,Positive
"צה""ל: תקפנו מחבלי חמאס שהיוו איום על הכוחות במרכז הרצועה",Positive
"פעילות צה""ל הלילה בלבנון: עשרות אמצעי לחימה אותרו, מתחם של חיזבאללה הושמד",Positive
"הפנטגון: ""גל התקיפות הנוכחי מאיראן הסתיים, אבל זה לא אומר שלא יגיעו עוד""",Positive
"בעקבות מתקפת הטילים מאיראן: עלייה של 480% בפניות לעמותת נט""ל לסיוע נפשי",Positive
"דובר צה""ל: כוחות ביצעו ירי לעבר עשרות חשודים שהיוו איום במרכז הרצועה",Positive
"צה""ל אחרי המתקפה האיראנית: חיל האוויר יתקוף בעוצמה הלילה ברחבי המזרח התיכון",Positive
"צה""ל: חיסלנו בביירות את מפקד דיוויזיית ""האימאם חוסיין"" של חיזבאללה",Positive
"צה""ל הכריז על שטח צבאי סגור לחלקים בגבול הצפון",Positive
"דובר צה""ל: ""בשלב זה לא מזהים איומים נוספים מאיראן. ישנן פגיעות בודדות""",Positive
"מנכ""ל מד""א: 3 פצועים קל מנפילות בגזרת ת""א; בקרוב: הצהרה נוספת של דובר צה""ל",Positive
"דובר צה""ל: ""הירי נמשך, הציבור מתבקש להישאר במרחבים מוגנים עד להודעה חדשה""",Positive
"דובר צה""ל: שוגרו טילים מאיראן, מערך ההגנה האווירית פועל במלואו",Positive
"צה""ל: חיסלנו בביירות את מפקד היחידה להעברת אמצעי לחימה מאיראן לחיזבאללה",Positive
"דובר צה""ל הגרי: ""הירי מאיראן עלול להיות רחב היקף""",Positive
"בפעם השלישית היום: דובר צה""ל ימסור הצהרה לתקשורת",Positive
"צה""ל מאשר: נפילות בשטח פתוח במרכז הארץ, לא הופעלו אזעקות בהתאם למדיניות",Positive
"הבוקר: צה""ל יקיים תרגיל בעוטף, תורגש תנועה של כוחות צבא",Positive
"דיווח בלבנון: לפחות 11 הרוגים ו""פצועים רבים"" בתקיפות צה""ל בעומק המדינה",Positive
"צה""ל: תקפנו עשרות מטרות חיזבאללה באל-בקאע, בהן משגרים ומבנים עם אמל""ח",Positive
"צה""ל על האזעקה בגליל העליון: יורטה מטרה חשודה שחצתה מלבנון",Positive
"צה""ל: תוקפים מטרות טרור של חיזבאללה באל-בקאע",Positive
דיווח על תקיפות בעומק לבנון; ההפצצה בביירות - לראשונה מחוץ לדאחייה,Positive
"צה""ל: תקפנו מחבלי חמאס שפעלו בבית ספר בצפון רצועת עזה",Positive
"צה""ל תקף מטרות חיזבאללה בלבנון, בהן משגר שממנו בוצע ירי לעמק החולה",Positive
"דובר צה""ל: ""התקיפות בתימן הן מסר ברור - מי שתוקף אותנו ישלם מחיר""",Positive
"לבנון: אזרח צרפת נהרג בתקיפות צה""ל, שר החוץ הצרפתי הגיע לביירות",Positive
"צה""ל: יירטנו כטב""ם במרחב ים סוף",Positive
"בתמונה שפרסם צה""ל: סימן שאלה מופיע על פרצופו של סינוואר",Positive
"תימן: 4 הרוגים בתקיפות בחודיידה; צה""ל: פגענו במערך הדלקים של החות'ים",Positive
"צה""ל השלים תקיפה רחבה של מפקדות חיזבאללה בדרום ובעומק לבנון",Positive
"לבנון: 21 הרוגים בתקיפת צה""ל באזור בעלבכ, חוסל אחראי חיזבאללה בצידון",Positive
"בכיר חות'י: ""התקיפות הישראליות בתימן - מחזקות את התמיכה בפלסטין ועזה""",Positive
"צה""ל: ספינת טילים ומסוק קרב יירטו שני כטב""מים מעל המים הריבוניים של ישראל",Positive
"דיווחים: פצועים מהתקיפות בתימן, תורים בתחנות דלק בצנעא",Positive
"צה""ל מאשר: עשרות מטוסי קרב תקפו בתימן - 1800 ק""מ מישראל",Positive
דיווח סעודי: התקיפות בחודיידה בתימן - לעבר 8 מכלי נפט שונים,Positive
"דיווח: תקיפות בבקעת הלבנון, סמוך לגבול עם סוריה",Positive
דיווח על תקיפות אוויריות של מכלי נפט בתימן,Positive
"צה""ל: כ-20 שיגורים חצו מלבנון במטח האחרון לאזור צפת - רובם יורטו",Positive
"צה""ל: תקפנו כ-45 מטרות חיזבאללה בכפר אחד בדרום לבנון",Positive
"דיווחים: צה""ל תקך בדרום ובעומק לבנון, חיזבאללה הכחיש חיסול בכיר",Positive
רויטרס: בכיר בארגון הטרור ג'מעה איסלאמיה חוסל בבקעת הלבנון,Positive
"חיזבאללה אישר: נביל קאוק,  ראש יחידת הביטחון המונע של הארגון, חוסל בביירות",Positive
"צה""ל: 20 מחבלים חוסלו יחד עם נסראללה בתקיפה בדאחייה",Positive
"צה""ל: כעשרה שיגורים זוהו במטח לגליל המערבי ולעמקים, חלקם יורטו",Positive
"צה""ל מאשר: ""תקפנו באופן ממוקד בדאחייה""",Positive
דיווחים: תקיפות בדאחייה בביירות,Positive
"צה""ל: תקפנו משגרים, מחסני אמל""ח ומבנים צבאיים של חיזבאללה בלבנון",Positive
חיזבאללה אישר רשמית: גם עלי כרכי חוסל בתקיפה בדאחייה שלשום,Positive
"צבא ארה""ב: חיסלנו 37 מחבלים בסוריה, רובם מדאעש",Positive
"יומיים אחרי החיסול: ""חולצה גופת נסראללה מהריסות הבונקר""",Positive
"צה""ל: תקפנו מחבלי חמאס במתחם ששימש בעבר כבי""ס בצפון הרצועה",Positive
"אחמד טיבי על חיסול נסראללה: ""זה לא מביא ביטחון, ילדים ומשפחות נהרגים""",Positive
באיראן מאיימים בנקמה - על חיסול הגנרל מכוח קודס ששהה בבונקר עם נסראללה,Positive
דיווחים בסוריה: תקיפות באזור חומס,Positive
"צה""ל מאשר: חוסל נביל קאוק, ראש יחידת הביטחון המונע בחיזבאללה",Positive
דיווחים בלבנון: התקיפות הישראליות נמשכות באזורים שונים,Positive
"אביה של רומי גונן על חיסול נסראללה: ""לא משכיח את הפוקוס מהחטופים""",Positive
"צה""ל על המטח לטבריה: 8 שיגורים חצו מלבנון, ונפלו בשטחים פתוחים",Positive
דיווח לבנוני: תקיפות במחוז אל-בקאע,Positive
"באמצעות ספינת טילים: צה""ל יירט כלי טיס שהיה בדרכו לאילת",Positive
"צה""ל: תקפנו משגרים ומבנים צבאיים של חיזבאללה במהלך הלילה",Positive
איראן: קוראת לכינוס מועצת הביטחון בעקבות חיסול נסראללה,Positive
"צפון קוריאה על העברת הסיוע הצבאי לקייב: ""ארה""ב משחקת באש מול רוסיה""",Positive
דיווח בלבנון על תקיפות בעיר צור,Positive
"נתניהו: ""חיסולו של נסראללה מקדם את החזרת התושבים לצפון - והשבת החטופים בדרום""",Positive
"האריס בירכה על חיסול נסראללה: ""על ידיו היה דם אמריקני""",Positive
"גדעון סער בירך על חיסול נסראללה: החלטה אמיצה של הממשלה, ביצוע מושלם של צה""ל",Positive
דיווח על תקיפות נוספות בדאחייה וליד נמל התעופה בביירות,Positive
"ביידן בירך על חיסול נסראללה: ""צדק לאלפי אמריקנים, ישראלים ולבנונים""",Positive
"צה""ל: חיסלנו בדאחייה בכיר במטה המודיעין של חיזבאללה",Positive
"הרצוג בירך על חיסול נסראללה: ""מייחל שזה יביא שינוי, תקווה ושקט לאזור""",Positive
"התקיפות בלבנון יתעצמו בימים הקרובים: ""נחסל גם את המחליפים של נסראללה""",Positive
"צה""ל הטיל סגר צבאי על לבנון, הותקפו דחפורים שניסו לשקם את מעברי הגבול עם סוריה",Positive
"צה""ל: יורט טיל קרקע-קרקע ששוגר מתימן",Positive
"במהלך הלילה: צה""ל תקף אתרי ייצור של חיזבאללה וצירי הברחה בגבול סוריה-לבנון",Positive
"צה""ל: ממשיכים לתקוף מטרות חיזבאללה בשטח לבנון",Positive
"שר החוץ כ""ץ בירך על חיסול נסראללה: ""מהמוצדקות בפעולות הסיכול אי-פעם""",Positive
"הרמטכ""ל אישר תוכניות להמשך התקיפות: ""צפויים ימים מאתגרים""",Positive
דיווח: סינוואר שינה את מיקומו ומעגלי אבטחתו בעקבות חיסול נסראללה,Positive
איראן: מפקד כוח קודס בלבנון וסוריה חוסל יחד עם נסראללה,Positive
"גלנט על חיסול נסראללה: מהפעולות החשובות בתולדות ישראל, אנחנו לא עוצרים",Positive
"דובר צה""ל הגרי: ""נסראללה היה מטרה לגיטימית במסגרת החוק הבינלאומי""",Positive
"דובר צה""ל: נכון לעכשיו - הלימודים מחר במרכז הארץ יתקיימו כסדרם",Positive
"דובר צה""ל הודיע על החמרה בהנחיות: איסור על התכנסויות גדולות במרכז",Positive
"דובר צה""ל: ""נסראללה היה מגדולי האויבים שלנו בכל הזמנים - אבל זה עוד לא נגמר""",Positive
חיזבאללה מאשר: נסראללה חוסל,Positive
"משרד החוץ של צרפת: ""לפי מידע שהגיע אלינו - נסראללה אכן חוסל""",Positive
"מפקד חה""א בירך את מפקד הטייסת שחיסלה את נסראללה: ""הבאתם הצגת ניצחון""",Positive
"דיווחים: חודשו התקיפות בדאחייה, צבא לבנון מאבטח שגרירויות בלבנון",Positive
"משעות הלילה: צה""ל תקף יותר מ-140 מטרות חיזבאללה בלבנון",Positive
דיווח: ירי ארטילרי ותקיפות אוויריות על כפרים רבים בדרום לבנון,Positive
"צה""ל: מקווים שהחיסול יוביל לשינוי בפעולות חיזבאללה",Positive
"דיווחים: בפרלמנט האיראני דנים בתקיפות בדאחייה, כטב""ם תקף בעומק לבנון",Positive
"לפיד על חיסול נסראללה: ""ידעו כל אויבינו שמי שתוקף את ישראל הוא בן מוות""",Positive
"שם המבצע לחיסול נסראללה: ""סדר חדש""",Positive
"דיווח: צה""ל פרץ לתדרים של מגדל הפיקוח בשדה התעופה בביירות",Positive
"צה""ל: ""נסראללה לא יוכל יותר להטיל טרור על העולם""",Positive
"הרמטכ""ל על חיסול נסראללה: ""זה לא סוף ארגז הכלים, נדע להגיע למי שמאיים עלינו""",Positive
"גם עלי כרכי חוסל: ההודעה הרשמית והדרמטית של צה""ל",Positive
"צה""ל תקף בדאחייה את המחסנים שבהם הוטמנו טילי החוף-ים של חיזבאללה",Positive
"צה""ל מודיע רשמית: נסראללה חוסל",Positive
בכיר חות'י רמז: הירי למרכז - תגובה לחיסול בכיר חיזבאללה בדאחייה,Positive
"צה""ל: טיל קרקע-קרקע שוגר מתימן. הוא יורט מחוץ לגבולות המדינה",Positive
"צה""ל: האזעקה בעוטף - זיהוי שווא",Positive
"מפקד פיקוד המרכז נפגש עם ראשי רשויות ביו""ש: ""צה""ל הרים הילוך בכל הזירות""",Positive
"צה""ל אישר: בכיר חיזבאללה מוחמד חוסיין סרור חוסל ברובע הדאחייה",Positive
"נתניהו אישר מ""כנף ציון"" את חיסול מפקד היחידה האווירית של חיזבאללה",Positive
גורמים ביטחוניים לרויטרס: מפקד היחידה האווירית של חיזבאללה חוסל בדאחייה,Positive
"צה""ל יעביר להורי התצפיתניות שנפלו בנחל עוז הקלטות של המשמרת האחרונה שלהן",Positive
"מנכ""ל משרד הביטחון סיכם עם האמריקנים על חבילת סיוע למלחמה בגובה מיליארדים",Positive
"דיווח: צה""ל ממשיך לתקוף בדרום לבנון",Positive
"כ-40 שיגורים במטח לאזור מירון. צה""ל: ""תוקפים עשרות מטרות של חיזבאללה""",Positive
"שר הביטחון גלנט אישר את המשך הפעולות של צה""ל בגזרה הצפונית",Positive
"צה""ל תוקף מטרות חיזבאללה בדרום לבנון",Positive
"צה""ל: כ-25 שיגורים במטח לגליל התחתון. מד""א: פצוע מרסיסים בכפר מנדא",Positive
"צה""ל חשף פרופילים פיקטיביים של חיזבאללה: ""שיטה של האויב לאיסוף מודיעין""",Positive
"צה""ל תקף בית ספר בצפון רצועת עזה. הפלסטינים: 14 נהרגו",Positive
"דיווח לבנוני: הרוג ושני פצועים בתקיפת צה""ל בדאחייה",Positive
"צה""ל: האזעקות בצפון הגולן - שווא",Positive
"צה""ל: הירי למרכז - מתימן",Positive
