text,Sentiment
"משרד הבריאות של לבנון: 1.4 המו""מ על עסקה",Neutral
"׭עזה: ""הפרטים בבדיקה""",Positive
אזעקות בגליל המערבי,Neutral
"האזעקות בקריית שמונה ובאזור: ""נפילות בשטחים פתוחים, לא דווח על נפגעים""",Negative
"צה""ל תקף מחסני אמל""ח בדרום לבנון",Positive
"דיווח על תקיפות נוספות בדאחייה ""מדינה"" ליד טול כרם",Positive
נער נהרג וצעיר נפצע בינוני-קשה כשרכבם התנגש בגדר בעמק יזרעאל,Negative
האזעקה בשניר: שיגור אחד חצה מלבנון ונפל בשטח פתוח בישראל,Negative
"דיווחים על נפילות גם בנגב ובשרון, הפרטים בבדיקה",Negative
אזעקה במטולה,Negative
"דיווח: מטוס F-16 אוקראיני התרסק במתקפה הרוסית השבוע, טייס בכיר נהרג",Negative
"צרפת גינתה בחריפות את המתקפה האיראנית: ""הפעלנו את כוחותינו באזור""",Negative
אזעקות בצפת ובאזור מירון,Neutral
"צה""ל תקף שני משגרים שהיו מוכנים לירי לעבר ישראל",Positive
"צה""ל: המבצע באזור ג'נין נמשך, עד כה חוסלו 20 מחבלים ונעצרו 17 מבוקשים",Positive
"צה""ל: ""֭חיסול נרחבות של חיזבאללה בגבול לבנון - אבו'ים נגמרון באזור חאן יונס"",",Positive
"צה""ל: תקפנו עשרות מטרות חיזבאללה באל-בקאע, בהן משגרים ומבנים עם אמל""ח",Positive
ראשי מועצ'ית בגולן: פתרון באזור בכמה מניינים לרויטרס,Neutral
"בן שנתיים מהגעים למו""מ במדינה על רכב פרימניה מזרח טקס",Neutral
חיזבאללה אישר רשמית: גם עלי כרכי חוסל בתקיפה בדאחייה שלשום,Positive
"׫נעדיה: אסיר לקחות בחיפוצי האופנוע בינוני רכב, אין נפגעים",Negative
"צה""ל: ""נבדקת הטענה על אזרח ישראלי שנורה אמש למוות ליד בית לחם""",Positive
"נקבע מותה של הילדה שנפגעה מרכב בקריית אונו, המשטרה פתחה בחקירה",Negative
"צה""ל: ""ראש התארגנות הטרור של חמאס בג'נין חוסל בחילופי אש""",Positive
אזעקה בקריית שמונה,Negative
כ-60 רקטות שוגרו במסגרת כמה מהמטחים האחרונים לצפון,Negative
גם רכב המחבל שחדר לכרמי צור היה ממולכד - והתפוצץ. חשד למחבלים ביישוב,Negative
"מטען חבלה התפוצץ על כוח צה""ל בזמן סריקות בצפון השומרון, אין נפגעים",Positive
"עכשיוצה""ל: הפצוע במטח - חייל מילואים שהמתין בצומת אליקים",Positive
"יו""ר ארגון המורים על עסקת החשוד בפריז, האופנוע בעזה: ""זה מכדים, חזית את הצעת שלנו""",Neutral
"המשטרה ושב""כ: עצרנו 4 חשודים באירועי טרור נגד פלסטינים, בהם הפרעות בג'ית",Negative
שני צעירים נפצעו קשה ובינוני באירוע אלימות בפוריידיס,Negative
"מד""א מעדכן: גבר נהרג בהתרסקות המטוס הקל באזור בנימינה",Negative
"לבנון: לפחות 72 הרוגים בתקיפות צה""ל ביממה האחרונה",Positive
חיזבאללה: השתמשנו במעגון הערב ה-F- ֦'יתה בפרשת שעות בס֭ויה,Neutral
דיווחים בלבנון: נמשכות התקיפות בדרום המדינה,Positive
המחבלים שרצחו שישה ביפו - תושבי אזור חברון,Negative
"שחר גולדמן נרצחה בפיגוע הירי ביפו: ""רקדנית בינלאומית ואישה מדהימה""",Negative
המועצה האזורית גול׿ה בשומרון: על עודן התנגדות במיין הלאומי,Neutral
דיווח לבנוני: 4 פצועים בתקיפות הישראליות היום,Positive
דיווחים בלבנון: תקיפות בדרום המדינה,Positive
"צה""ל ממשיך לתקוף בלבנון",Positive
טראמפ בהצהרה נוספת בקריית שמונה והסביבה,Neutral
חיזבאללה טוען: ``יירטנו הלילה נפלו בקרב על הצבא סטרירה בישראל'',Negative
"היועמ""שית לבג""ץ: מטוסים לצד שדה בטקס הזיכרון ל-48 באלקטורים, חיזבאל׬יו",Neutral
"רגב ארה""ב: נפצע הביעוד עם בתקיפה בית חולים נוספים באזור בן דוחה",Neutral
המשחקים הפראלימפיים בפריז: אסף יסעור הבטיח לישראל מדליה בטאקוונדו,Negative
"משפחתו שמועז ׮ל טראמפ לשעבר על האו""ם אופנוע לדרום הנוסף",Neutral
